Process:                      	Test Run                      	
Success:                      	                           72 	Records
Error/Warning:                	                            0 	Records
                              	                              	
ลำดับที่                      	Result                        	Error Log
1                             	Success                       	Test Run
2                             	Success                       	Test Run
3                             	Success                       	Test Run
4                             	Success                       	Test Run
5                             	Success                       	Test Run
6                             	Success                       	Test Run
7                             	Success                       	Test Run
8                             	Success                       	Test Run
9                             	Success                       	Test Run
10                            	Success                       	Test Run
11                            	Success                       	Test Run
12                            	Success                       	Test Run
13                            	Success                       	Test Run
14                            	Success                       	Test Run
15                            	Success                       	Test Run
16                            	Success                       	Test Run
17                            	Success                       	Test Run
18                            	Success                       	Test Run
19                            	Success                       	Test Run
20                            	Success                       	Test Run
21                            	Success                       	Test Run
22                            	Success                       	Test Run
23                            	Success                       	Test Run
24                            	Success                       	Test Run
25                            	Success                       	Test Run
26                            	Success                       	Test Run
27                            	Success                       	Test Run
28                            	Success                       	Test Run
29                            	Success                       	Test Run
30                            	Success                       	Test Run
31                            	Success                       	Test Run
32                            	Success                       	Test Run
33                            	Success                       	Test Run
34                            	Success                       	Test Run
35                            	Success                       	Test Run
36                            	Success                       	Test Run
37                            	Success                       	Test Run
38                            	Success                       	Test Run
39                            	Success                       	Test Run
40                            	Success                       	Test Run
41                            	Success                       	Test Run
42                            	Success                       	Test Run
43                            	Success                       	Test Run
44                            	Success                       	Test Run
45                            	Success                       	Test Run
46                            	Success                       	Test Run
47                            	Success                       	Test Run
48                            	Success                       	Test Run
49                            	Success                       	Test Run
50                            	Success                       	Test Run
51                            	Success                       	Test Run
52                            	Success                       	Test Run
53                            	Success                       	Test Run
54                            	Success                       	Test Run
55                            	Success                       	Test Run
56                            	Success                       	Test Run
57                            	Success                       	Test Run
58                            	Success                       	Test Run
59                            	Success                       	Test Run
60                            	Success                       	Test Run
61                            	Success                       	Test Run
62                            	Success                       	Test Run
63                            	Success                       	Test Run
64                            	Success                       	Test Run
65                            	Success                       	Test Run
66                            	Success                       	Test Run
67                            	Success                       	Test Run
68                            	Success                       	Test Run
69                            	Success                       	Test Run
70                            	Success                       	Test Run
71                            	Success                       	Test Run
72                            	Success                       	Test Run
