BAPISKFHDR						
CO_AREA	DOC_NO	POSTGDATE	DOCDATE	DOC_HDR_TX	USERNAME	
1000	1	20211031	20211031	SKF31 :บันทึก SKF สัดส่วนฟังก์ชั่นงาน ฝธค.	172002	
						
BAPISKFITM						
CO_AREA	DOC_NO	REC_CCTR	REC_ORDER	STATKEYFIG	STAT_QTY	SEG_TEXT
1000	1	C312161		SKF31	10	
1000	1	C312361		SKF31	10	
1000	1	C312461		SKF31	10	
1000	1	C313761		SKF31	10	
1000	1	C313861		SKF31	10	
1000	1	C313961		SKF31	10	
1000	1	C317161		SKF31	10	
1000	1	C317261		SKF31	10	
1000	1	C317361		SKF31	10	
1000	1	C317461		SKF31	10	
1000	1	C316162		SKF31	34	
1000	1	C316262		SKF31	33	
1000	1	C316362		SKF31	33	
1000	1	C314163		SKF31	34	
1000	1	C314263		SKF31	33	
1000	1	C314363		SKF31	33	
1000	1	C314437		SKF31	100	
1000	1	C314464		SKF31	100	
	
