Asset Class	Company code	Number of similar assets	Asset Number	Asset Sub Number	Asset main no. text	Description	Description2	Quantity	Unit     	Serial No.   	Inventory Note	Inventory number	Capitalize Date	Ordinary Depreciation date	Cost center	Investment Reason	Asset Super Number	WBS element	Dep key	Use full life	Scrap value	Evaluation group 1	Evaluation group 2	Evaluation group 3	Evaluation group 4	Evaluation group 5	Room	License plate number	Type name
10602	MWA				อาคารสุทธิอุทกากร	จอแอลอีดีทีวีขนาด 65 นิ้ว พร้อมขาแขวน	รุ่น UA65AU7700 ยี่ห้อ Sumsung	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จอแอลอีดีบอร์ด P3 ขนาด 2.0x3.5 เมตร รุ่น P3 	ยี่ห้อ Nightsun	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	โปรเซสเซอร์สำหรับจอแอลอีดีบอร์ด รุ่น A6000 	ยี่ห้อ VDWALL	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง) 	รุ่นHEX100HDVGA-SET ยี่ห้อBlustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง) 	รุ่นHEX100HDVGA-SET ยี่ห้อBlustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง) 	รุ่นHEX100HDVGA-SET ยี่ห้อBlustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องฉายภาพจากสัญญาณคอมฯและVDOแบบ Laser 	6000 Ansi รุ่น PT-VMZ600 ยี่ห้อ PANASONIC	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องฉายภาพจากสัญญาณคอมฯและVDOแบบ Laser 	6000 Ansi รุ่น PT-VMZ600 ยี่ห้อ PANASONIC	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องฉายภาพจากสัญญาณคอมฯและVDOแบบ Laser 	6000 Ansi รุ่น PT-VMZ600 ยี่ห้อ PANASONIC	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องกระจายสัญญาณ HDMI 1:2 รุ่น SP12AB-V2  	ยี่ห้อ Blustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จอแอลอีดีทีวีขนาด 65 นิ้ว พร้อมขาแขวน 	รุ่น UA65AU7700 ยี่ห้อ Sumsung	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จอแอลอีดีทีวีขนาด 65 นิ้ว พร้อมขาแขวน 	รุ่น UA65AU7700 ยี่ห้อ Sumsung	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จอแอลอีดีทีวีขนาด 32 นิ้ว พร้อมขาแขวน	รุ่น UA32T4300 ยี่ห้อ Sumsung	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จอแอลอีดีทีวีขนาด 32 นิ้ว พร้อมขาแขวน	รุ่น UA32T4300 ยี่ห้อ Sumsung	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จอแอลอีดีทีวีขนาด 32 นิ้ว พร้อมขาแขวน	รุ่น UA32T4300 ยี่ห้อ Sumsung	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จอแอลอีดีทีวีขนาด 32 นิ้ว พร้อมขาแขวน	รุ่น UA32T4300 ยี่ห้อ Sumsung	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10609	MWA				อาคารสุทธิอุทกากร	All in one PC ขนาด 24 นิ้ว ยี่ห้อ Philip		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลำโพงตู้ ขนาด 6 นิ้ว รุ่น VXS5 ยี่ห้อ YAMAHA		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลำโพงตู้ ขนาด 6 นิ้ว รุ่น VXS5 ยี่ห้อ YAMAHA		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลำโพงตู้ ขนาด 6 นิ้ว รุ่น VXS5 ยี่ห้อ YAMAHA		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลำโพงตู้ ขนาด 6 นิ้ว รุ่น VXS5 ยี่ห้อ YAMAHA		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องผสมและขยายสัญญาณเสียง พร้อมเครื่องเล่น 	MP3 รุ่น A-3212DM  ยี่ห้อ TOA	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องปรับเสียงสัญญาณเสียงแบบดิจิตอล รุ่นSolus	NX 4x4  ยี่ห้อ SYMETRIX	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลำโพงตู้แบบคอลัมน์ รุ่น VLS15 ยี่ห้อ TANNY		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลำโพงตู้แบบคอลัมน์ รุ่น VLS15 ยี่ห้อ TANNY		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	แผงควบคุมเสียง รุ่น ARC-2e ยี่ห้อ SYMETRIX		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ตู้เก็บอุปกรณ์		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องควบคุมกลางพร้อมอุปกรณ์เสริม รุ่น CP-4 	ยี่ห้อ CRESTRON	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ที่ควบคุมแบบสัมผัส รุ่น TSW-770-B-S 	ยี่ห้อ CRESTRON	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	Ethernet Switcher Hub 8 ช่อง รุ่น TL-SG2210MP	ยี่ห้อ TP-LINK	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องผสมสัญญาณเสียงแบบมีกำลังขยาย พร้อม MP3 	รุ่น A-3224DMZ ยี่ห้อ TOA	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จอแอลอีดีทีวีขนาด 65 นิ้ว  รุ่น UA65AU7700 	ยี่ห้อ Sumsung	1			3300053250	จล.8/2564	11092023		1222001	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จอแอลอีดีทีวีขนาด 65 นิ้ว  รุ่น UA65AU7700 	ยี่ห้อ Sumsung	1			3300053250	จล.8/2564	11092023		1222001	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ขาตั้งทีวีพร้อมล้อเลื่อน		1			3300053250	จล.8/2564	11092023		1222001	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ขาตั้งทีวีพร้อมล้อเลื่อน		1			3300053250	จล.8/2564	11092023		1222001	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลำโพงหน้าติดผนังขนาด 8 นิ้ว รุ่น VXS8 	ยี่ห้อ YAMAHA	1			3300053250	จล.8/2564	11092023		1222001	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลำโพงหน้าติดผนังขนาด 8 นิ้ว รุ่น VXS8 	ยี่ห้อ YAMAHA	1			3300053250	จล.8/2564	11092023		1222001	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องผสมสัญญาณพร้อมขยายเสียง 400 วัตต์ 	8 Ohm รุ่น PMP2000D ยี่ห้อ BEHRINGER	1			3300053250	จล.8/2564	11092023		1222001	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องผสมสัญญาณพร้อมขยายเสียง 240 วัตต์ 70V	รุ่น A-3224DMZ ยี่ห้อ TOA	1			3300053250	จล.8/2564	11092023		1222001	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดไมโครโฟนไร้สายแบบครอบหัว รุ่น ATW-3211/	BP892 ยี่ห้อAUDIO TECHNICA	1			3300053250	จล.8/2564	11092023		1222001	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องเล่นซีดีและ MP3 ยี่ห้อ YAMAHA		1			3300053250	จล.8/2564	11092023		1222001	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ตู้เก็บอุปกรณ์		1			3300053250	จล.8/2564	11092023		1222001	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จอรับภาพแบบมอร์เตอร์ขนาด 300 นิ้ว 16:9 	รุ่น EMW-H300 ยี่ห้อ RAZR	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จอรับภาพแบบมอร์เตอร์ขนาด 300 นิ้ว 16:9 	รุ่น EMW-H300 ยี่ห้อ RAZR	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จอรับภาพแบบมอร์เตอร์ขนาด 300 นิ้ว 16:9 	รุ่น EMW-H300 ยี่ห้อ RAZR	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จอรับภาพแบบมอร์เตอร์ขนาด 300 นิ้ว 16:9 	รุ่น EMW-H300 ยี่ห้อ RAZR	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องฉายภาพจากสัญญาณคอมและVDOแบบLaser	PT-VMZ600 (PANASONIC) เลนส์ ET-EMS600	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องฉายภาพจากสัญญาณคอมและVDOแบบLaser	PT-VMZ600 (PANASONIC) เลนส์ ET-EMS600	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องฉายภาพจากสัญญาณคอมและVDOแบบLaser	PT-VMZ600 (PANASONIC) เลนส์ ET-EMS600	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องฉายภาพจากสัญญาณคอมและVDOแบบLaser	PT-VMZ600 (PANASONIC) เลนส์ ET-EMS600	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลิฟต์เครื่องฉายภาพ รุ่น PML-07 ยี่ห้อ LYLN		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลิฟต์เครื่องฉายภาพ รุ่น PML-07 ยี่ห้อ LYLN		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลิฟต์เครื่องฉายภาพ รุ่น PML-07 ยี่ห้อ LYLN		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลิฟต์เครื่องฉายภาพ รุ่น PML-07 ยี่ห้อ LYLN		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องสลับสัญญาณภาพ HDMI แบบเมทริกซ์ 16:8  	รุ่น CUSTOMPRO-HUB ยี่ห้อ Blustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง-ติดผนัง) 	รุ่นHEX100HDVGA/HEX11WP ยี่ห้อBlustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง-ติดผนัง) 	รุ่นHEX100HDVGA/HEX11WP ยี่ห้อBlustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง-ติดผนัง) 	รุ่นHEX100HDVGA/HEX11WP ยี่ห้อBlustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง-ติดผนัง) 	รุ่นHEX100HDVGA/HEX11WP ยี่ห้อBlustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง-ติดผนัง) 	รุ่นHEX100HDVGA/HEX11WP ยี่ห้อBlustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง-ติดผนัง) 	รุ่นHEX100HDVGA/HEX11WP ยี่ห้อBlustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง-ติดผนัง) 	รุ่นHEX100HDVGA/HEX11WP ยี่ห้อBlustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง-กล่อง) 	รุ่น HEX100HDVGA-SET ยี่ห้อ Blustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง-กล่อง) 	รุ่น HEX100HDVGA-SET ยี่ห้อ Blustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง-กล่อง) 	รุ่น HEX100HDVGA-SET ยี่ห้อ Blustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
