ZFGLIF001	$H	20201231	20201231	S1	1000	THB	 											
ZFGLIF001	$I	50	5220300010	15000.00			1001		C064000									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	7500.00			1001		C220000									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	18768.66			1001		C234500									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	13500.00			1001		C244200									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	12000.00			1001		C301100									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	19450.66			1001		C304300									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	14523.34			2011		C313900									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	15000.00			1001		C360000									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	7500.00			1001		C463000									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	18000.00			1001		C464100									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	13584.66			1001		C492100									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	14733.34			1001		C531100									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	6905.34			1001		C552500									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	9000.00			1001		C553400									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	9000.00			1001		C563300									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	13500.00			1001		C563400									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	13500.00			1001		C573400									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	12000.00			1001		C582500									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	15000.00			1001		C583500									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	18000.00			1001		C593300									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	18000.00			1001		C602300									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	15000.00			1001		C670000									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	22500.00			1001		C674300									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	14238.66			1001		C693500									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	15000.00			1001		C700000									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	6000.00			1001		C702200									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	7500.00			1001		C752400									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	6000.00			1001		C762500									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	10500.00			1001		C773400									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	12147.33			1001		C792400									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	22762.00			1001		C792500									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
