BAPIAAHDR						
CO_AREA	DOC_NO	POSTGDATE	DOCDATE	DOC_HDR_TX	USERNAME	
1000	1	20211031	20211031	บันทึกค่าใช้จ่ายระหว่างหน่วยงานสนับสนุน (ราคาโอน)	172014	
						
BAPIAAITM						
CO_AREA	DOC_NO	SEND_CCTR	ACTTYPE	ACTVTY_QTY	REC_CCTR	SEG_TEXT
1000	1	C030000	030003	1.00	C312000	2021.10 การสอบทานการจัดวางระบบการควบคุมภายในฯ
1000	1	C030000	030003	1.00	C313000	2021.10 การสอบทานการจัดวางระบบการควบคุมภายในฯ
1000	1	C030000	030003	1.00	C316000	2021.10 การสอบทานการจัดวางระบบการควบคุมภายในฯ
1000	1	C030000	030003	1.00	C317000	2021.10 การสอบทานการจัดวางระบบการควบคุมภายในฯ
1000	1	C030000	030003	1.00	C314000	2021.10 การสอบทานการจัดวางระบบการควบคุมภายในฯ
1000	1	C030000	030003	2.00	C310000	2021.10 การสอบทานการจัดวางระบบการควบคุมภายในฯ
1000	1	C030000	030003	1.00	C311100	2021.10 การสอบทานการจัดวางระบบการควบคุมภายในฯ
1000	1	C030000	030003	1.00	C315000	2021.10 การสอบทานการจัดวางระบบการควบคุมภายในฯ
1000	1	C060000	060001	1.00	C312000	2021.10 คชจ.การบริหารฯ บุคคล
1000	1	C060000	060001	1.00	C313000	2021.10 คชจ.การบริหารฯ บุคคล
1000	1	C060000	060001	1.00	C316000	2021.10 คชจ.การบริหารฯ บุคคล
1000	1	C060000	060001	1.00	C317000	2021.10 คชจ.การบริหารฯ บุคคล
1000	1	C060000	060001	1.00	C314000	2021.10 คชจ.การบริหารฯ บุคคล
1000	1	C060000	060001	2.00	C310000	2021.10 คชจ.การบริหารฯ บุคคล
1000	1	C060000	060001	1.00	C311100	2021.10 คชจ.การบริหารฯ บุคคล
1000	1	C060000	060001	1.00	C315000	2021.10 คชจ.การบริหารฯ บุคคล
1000	1	C170000	170001	1.00	C312000	2021.10  การทำธุรกรรมทางบัญชี
1000	1	C170000	170001	1.00	C313000	2021.10  การทำธุรกรรมทางบัญชี
1000	1	C170000	170001	1.00	C316000	2021.10  การทำธุรกรรมทางบัญชี
1000	1	C170000	170001	1.00	C317000	2021.10  การทำธุรกรรมทางบัญชี
1000	1	C170000	170001	1.00	C314000	2021.10  การทำธุรกรรมทางบัญชี
1000	1	C170000	170001	2.00	C310000	2021.10  การทำธุรกรรมทางบัญชี
1000	1	C170000	170001	1.00	C311100	2021.10  การทำธุรกรรมทางบัญชี
1000	1	C170000	170001	1.00	C315000	2021.10  การทำธุรกรรมทางบัญชี
1000	1	C180000	180001	7.00	C312000	2021.09 ค่าตรวจฯ การจ่ายเงิน
1000	1	C180000	180001	6.00	C313000	2021.09 ค่าตรวจฯ การจ่ายเงิน
1000	1	C180000	180001	2.00	C316000	2021.09 ค่าตรวจฯ การจ่ายเงิน
1000	1	C180000	180001	5.00	C317000	2021.09 ค่าตรวจฯ การจ่ายเงิน
1000	1	C180000	180001	4.00	C314000	2021.09 ค่าตรวจฯ การจ่ายเงิน
1000	1	C180000	180002	18.00	C312000	2021.10  ค่าจัดทำเช็คจ่ายเงิน
1000	1	C180000	180002	14.00	C313000	2021.10  ค่าจัดทำเช็คจ่ายเงิน
1000	1	C180000	180002	37.00	C316000	2021.10  ค่าจัดทำเช็คจ่ายเงิน
1000	1	C180000	180002	45.00	C317000	2021.10  ค่าจัดทำเช็คจ่ายเงิน
1000	1	C180000	180002	7.00	C314000	2021.10  ค่าจัดทำเช็คจ่ายเงิน
1000	1	C180000	180002	11.00	C315000	2021.10  ค่าจัดทำเช็คจ่ายเงิน
1000	1	C240000	240001	915425.39	C312000	2021.10 Carrying cost
