BAPIAAHDR									
CO_AREA	DOC_NO	POSTGDATE	DOCDATE	DOC_HDR_TX	USERNAME				
1000	1	20220503	20220328	ปป. DL 28.03.2565	174004				
									
BAPIAAITM									
CO_AREA	DOC_NO	ITEMNO_ACC	SEND_CCTR	ACTTYPE	ACTVTY_QTY	REC_WBS_EL	REC_ORDER	PERSON_NO	SEG_TEXT
1000	1	1	C294400	DL01	5.5	B/60.10.02.032.60.01.202		2216414	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	2	C294400	DL02	5.5	B/60.10.02.032.60.01.202		2489111	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	3	C295300	DL01	11	B/60.10.02.028.60.01.203		2529202	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	4	C295300	DL01	5.5	B/60.10.02.032.60.01.202		2529202	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	5	C332200	DL03	5.5		1AA653323005	1681530	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	6	C332300	DL02	5.5		1AA653323005	2428315	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	7	C332300	DL02	5.5	N/61.25.20.004.64.IP.403		2555529	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	8	C354200	DL01	14	N/61.25.20.004.64.IP.403		2583421	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	9	C462600	DL03	6.5	I/63.10.02.017.63.02.204		1543231	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	10	C462600	DL03	6.5	I/63.10.02.017.63.02.204		1601415	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	11	C462600	DL02	6.5	I/62.10.03.001.62.DR.302		1734211	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	12	C462600	DL02	6.5	I/64.09.04.001.64.10.204		1734211	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	13	C462600	DL03	6.5	I/63.10.02.017.63.02.204		1773904	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	14	C462600	DL04	6.5	I/63.10.02.017.63.02.204		1820130	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	15	C462600	DL03	6.5	I/63.10.03.001.63.KI.302		1820809	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	16	C462600	DL03	6.5	I/63.10.03.001.63.KI.302		1831312	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	17	C462600	DL03	6.5	I/64.09.04.001.64.12.204		1831312	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	18	C462600	DL03	6.5	I/62.10.03.001.62.DR.302		1832732	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	19	C462600	DL03	6.5	I/64.09.04.001.64.10.204		1832732	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	20	C462600	DL02	6.5	I/64.09.04.001.64.12.204		1833108	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	21	C462600	DL03	6.5	I/62.10.03.001.62.DR.302		1833302	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	22	C462600	DL03	6.5	I/64.09.04.001.64.10.204		1833302	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	23	C462600	DL03	6.5	I/63.10.02.017.63.02.204		1833727	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	24	C462600	DL03	6.5	I/63.10.03.001.63.KI.302		1840929	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	25	C462600	DL03	6.5	I/64.09.04.001.64.12.204		1840929	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	26	C462600	DL03	6.5	I/63.10.02.017.63.02.204		1841305	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	27	C462600	DL03	6.5	I/64.09.04.001.64.24.302		1841730	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	28	C462600	DL03	6.5	I/64.10.03.001.64.44.301		1841730	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	29	C462600	DL03	6.5	I/63.10.02.017.63.02.204		1841827	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	30	C462600	DL03	6.5	I/62.10.03.001.62.DR.302		1846511	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	31	C462600	DL03	6.5	I/64.09.04.001.64.10.204		1846511	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	32	C462600	DL03	6.5	I/63.10.02.017.63.02.204		1883923	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	33	C462600	DL04	13	I/63.10.02.017.63.02.204		1886326	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	34	C462600	DL04	6.5	I/63.10.03.001.63.BQ.301		1894814	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	35	C462600	DL03	6.5	I/63.10.02.017.63.02.204		1969702	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	36	C462600	DL04	6.5	I/63.10.03.001.63.KI.302		2037126	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	37	C462600	DL04	6.5	I/64.09.04.001.64.12.204		2037126	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	38	C462600	DL03	6.5	I/63.10.02.017.63.02.204		2063028	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	39	C462600	DL03	6.5	I/64.09.04.001.64.24.302		2063901	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	40	C462600	DL03	6.5	I/64.10.03.001.64.44.301		2063901	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	41	C462600	DL03	6.5	I/64.09.04.001.64.24.302		2101905	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	42	C462600	DL03	6.5	I/64.10.03.001.64.44.301		2101905	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	43	C462600	DL03	6.5	I/63.10.02.017.63.02.204		2104308	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	44	C462600	DL02	6.5	I/63.10.03.001.63.KI.302		2129209	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	45	C462600	DL02	6.5	I/64.09.04.001.64.12.204		2129209	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	46	C462600	DL03	6.5	I/63.10.02.017.63.02.204		2132916	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	47	C462600	DL03	6.5	I/64.09.04.001.64.24.302		2136314	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
